[2023-04-08 14:14:16,890] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-04-08 14:14:18,022] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2023-04-08 14:14:19,315] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2023-04-08 14:14:19,315] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2023-04-08 14:14:19,316] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2023-04-08 14:14:19,318] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2023-04-08 14:15:00,283] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-04-08 14:15:00,378] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2023-04-08 14:19:54,733] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2023-04-08 14:19:54,733] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2023-04-08 14:19:54,734] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2023-04-08 14:19:54,734] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2023-04-08 14:25:00,245] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-04-08 14:25:00,326] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2023-04-08 14:27:16,665] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2023-04-08 14:27:16,665] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2023-04-08 14:27:16,665] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2023-04-08 14:27:16,666] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2023-04-08 14:27:50,805] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-04-08 14:27:50,872] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2023-04-08 14:35:13,067] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2023-04-08 14:35:13,070] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2023-04-08 14:35:13,071] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2023-04-08 14:35:13,071] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2023-04-08 14:37:20,909] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-04-08 14:37:21,008] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
